refdes;pin;voltage;current
J2;pdna_pin_1_1;12.0;0.000100002
J2;pdna_pin_1_2;12.0;0.000100002
J2;pdna_pin_2_1;0.0;-0.000100002
J2;pdna_pin_2_2;0.0;-0.000100002
L1_5V;1;4.99474;0.0
U1_5V;F3;-0.00231459;-0.8571144286000001
U1_5V;E3;-0.00231459;-0.8571144286000001
U1_5V;D3;-0.00231459;-0.8571144286000001
U1_5V;C4;-0.00231459;-0.8571144286000001
U1_5V;C3;-0.00231459;-0.8571144286000001
U1_5V;B3;-0.00231459;-0.8571144286000001
U1_5V;A3;-0.00231459;-0.8571144286000001
L2_5V;1;4.99463;0.0
J1;5;4.9167;-1.502656
J1;6;4.91622;-1.497254
J1;7;4.91622;-1.497254
J1;8;4.91671;-1.502828
J1;pdna_pin_SHLD_1;0.00419274;0.734478
J1;pdna_pin_SHLD_2;0.00428246;0.73347
J1;pdna_pin_SHLD_3;0.00246218;0.753948
J1;pdna_pin_SHLD_4;0.00235012;0.755208
J1;1;0.0023447;0.75527
J1;2;0.002171;0.757224
J1;3;0.00222206;0.756648
J1;4;0.00247995;0.753748
U1_5V;A1;12.0;-2.85714e-05
U1_5V;F1;12.0;-2.85714e-05
U1_5V;E4;12.0;-2.85714e-05
U1_5V;E1;12.0;-2.85714e-05
U1_5V;D1;12.0;-2.85714e-05
U1_5V;C1;12.0;-2.85714e-05
U1_5V;B1;12.0;-2.85714e-05
U2;5;12.0;-0.000200003
U2;6;12.0;0.000200003
L1_5V;2;4.92394;2.94957
L2_5V;2;4.92142;3.05043
