refdes,pin,voltage,current,rpin
VCOMP0,VCOMP0-0,12,0.000100002,0
VCOMP0,VCOMP0-1,12,0.000100002,0
VCOMP0,VCOMP0-2,0,-0.000100002,0
VCOMP0,VCOMP0-3,0,-0.000100002,0
VCOMP3,VCOMP3-0,4.99474,2.94957,0
VCOMP3,VCOMP3-1,-0.00231459,-0.421368,0
VCOMP3,VCOMP3-2,-0.00231459,-0.421368,0
VCOMP3,VCOMP3-3,-0.00231459,-0.421368,0
VCOMP3,VCOMP3-4,-0.00231459,-0.421368,0
VCOMP3,VCOMP3-5,-0.00231459,-0.421368,0
VCOMP3,VCOMP3-6,-0.00231459,-0.421368,0
VCOMP3,VCOMP3-7,-0.00231459,-0.421368,0
VCOMP5,VCOMP5-0,4.99463,3.05043,0
VCOMP5,VCOMP5-1,-0.00231459,-0.435775,0
VCOMP5,VCOMP5-2,-0.00231459,-0.435775,0
VCOMP5,VCOMP5-3,-0.00231459,-0.435775,0
VCOMP5,VCOMP5-4,-0.00231459,-0.435775,0
VCOMP5,VCOMP5-5,-0.00231459,-0.435775,0
VCOMP5,VCOMP5-6,-0.00231459,-0.435775,0
VCOMP5,VCOMP5-7,-0.00231459,-0.435775,0
VCOMP1,VCOMP1-0,4.9167,-0.751328,0.177778
VCOMP1,VCOMP1-1,4.91622,-0.748627,0.177778
VCOMP1,VCOMP1-2,4.91622,-0.748627,0.177778
VCOMP1,VCOMP1-3,4.91671,-0.751414,0.177778
VCOMP1,VCOMP1-4,0.00419274,0.367239,0.177778
VCOMP1,VCOMP1-5,0.00428246,0.366735,0.177778
VCOMP1,VCOMP1-6,0.00246218,0.376974,0.177778
VCOMP1,VCOMP1-7,0.00235012,0.377604,0.177778
VCOMP1,VCOMP1-8,0.0023447,0.377635,0.177778
VCOMP1,VCOMP1-9,0.002171,0.378612,0.177778
VCOMP1,VCOMP1-10,0.00222206,0.378324,0.177778
VCOMP1,VCOMP1-11,0.00247995,0.376874,0.177778
VCOMP2,VCOMP2-0,4.9167,-0.751328,0.177778
VCOMP2,VCOMP2-1,4.91622,-0.748627,0.177778
VCOMP2,VCOMP2-2,4.91622,-0.748627,0.177778
VCOMP2,VCOMP2-3,4.91671,-0.751414,0.177778
VCOMP2,VCOMP2-4,0.00419274,0.367239,0.177778
VCOMP2,VCOMP2-5,0.00428246,0.366735,0.177778
VCOMP2,VCOMP2-6,0.00246218,0.376974,0.177778
VCOMP2,VCOMP2-7,0.00235012,0.377604,0.177778
VCOMP2,VCOMP2-8,0.0023447,0.377635,0.177778
VCOMP2,VCOMP2-9,0.002171,0.378612,0.177778
VCOMP2,VCOMP2-10,0.00222206,0.378324,0.177778
VCOMP2,VCOMP2-11,0.00247995,0.376874,0.177778
VCOMP4,VCOMP4-0,12,-1.42857e-05,700000
VCOMP4,VCOMP4-1,12,-1.42857e-05,700000
VCOMP4,VCOMP4-2,12,-1.42857e-05,700000
VCOMP4,VCOMP4-3,12,-1.42857e-05,700000
VCOMP4,VCOMP4-4,12,-1.42857e-05,700000
VCOMP4,VCOMP4-5,12,-1.42857e-05,700000
VCOMP4,VCOMP4-6,12,-1.42857e-05,700000
VCOMP4,VCOMP4-7,-0.00231459,1.42857e-05,700000
VCOMP4,VCOMP4-8,-0.00231459,1.42857e-05,700000
VCOMP4,VCOMP4-9,-0.00231459,1.42857e-05,700000
VCOMP4,VCOMP4-10,-0.00231459,1.42857e-05,700000
VCOMP4,VCOMP4-11,-0.00231459,1.42857e-05,700000
VCOMP4,VCOMP4-12,-0.00231459,1.42857e-05,700000
VCOMP4,VCOMP4-13,-0.00231459,1.42857e-05,700000
VCOMP6,VCOMP6-0,12,-1.42857e-05,700000
VCOMP6,VCOMP6-1,12,-1.42857e-05,700000
VCOMP6,VCOMP6-2,12,-1.42857e-05,700000
VCOMP6,VCOMP6-3,12,-1.42857e-05,700000
VCOMP6,VCOMP6-4,12,-1.42857e-05,700000
VCOMP6,VCOMP6-5,12,-1.42857e-05,700000
VCOMP6,VCOMP6-6,12,-1.42857e-05,700000
VCOMP6,VCOMP6-7,-0.00231459,1.42857e-05,700000
VCOMP6,VCOMP6-8,-0.00231459,1.42857e-05,700000
VCOMP6,VCOMP6-9,-0.00231459,1.42857e-05,700000
VCOMP6,VCOMP6-10,-0.00231459,1.42857e-05,700000
VCOMP6,VCOMP6-11,-0.00231459,1.42857e-05,700000
VCOMP6,VCOMP6-12,-0.00231459,1.42857e-05,700000
VCOMP6,VCOMP6-13,-0.00231459,1.42857e-05,700000
VCOMP7,VCOMP7-0,12,-0.000200003,0.0049
VCOMP7,VCOMP7-1,12,0.000200003,0.0049
VCOMP8,VCOMP8-0,4.99474,-2.94957,0.012
VCOMP8,VCOMP8-1,4.92394,2.94957,0.012
VCOMP9,VCOMP9-0,4.99463,-3.05043,0.012
VCOMP9,VCOMP9-1,4.92142,3.05043,0.012
